row,original_name,normalized_name,group_title,country_hint,matched,tvg_id,epg_source_section,confidence,method
1,Vegateve,VEGATEVE,R. DOMINICANA,do,False,,,83,review_required
2,100 mexicanos,100 MEXICANOS,-- VIX --,,False,,,90,review_required
3,40 y 20,40 Y 20,-- VIX --,,False,,,90,review_required
4,Aqui y Ahora,AQUI Y AHORA,-- VIX --,,False,,,0,no_candidate
5,Como Dice el Dicho,COMO DICE EL DICHO,-- VIX --,,False,,,0,no_candidate
6,Cops en EspaÃ±ol,COPS EN ESPAA OL,-- VIX --,,False,,,0,no_candidate
7,Cuidado con el Angel,CUIDADO CON EL ANGEL,-- VIX --,,False,,,90,review_required
8,La Rosa de Guadalupe,LA ROSA DE GUADALUPE,-- VIX --,,False,,,0,no_candidate
9,Las 3 Marias,LAS 3 MARIAS,-- VIX --,,False,,,90,review_required
10,Mi Corazon es tuyo,MI CORAZON ES TUYO,-- VIX --,,False,,,90,review_required
11,Novelas 1,NOVELAS 1,-- VIX --,,False,,,95,review_required
12,Novelas 3,NOVELAS 3,-- VIX --,,False,,,95,review_required
13,Novelas 4,NOVELAS 4,-- VIX --,,False,,,95,review_required
14,Refugio de Amor,REFUGIO DE AMOR,-- VIX --,,False,,,90,review_required
15,Teresa,TERESA,-- VIX --,,False,,,90,review_required
16,VIX | TUDN FHD,VIX TUDN,-- VIX --,,False,,,90,review_required
17,Canal i,I,VENEZUELA,ve,True,I-TV.ch,epg_ripper_CH1,99,exact_name
18,TVE INTERNACIONAL | AR,TVE INTERNACIONAL AR,☕NOTICIAS☕,,False,,,95,review_required
19,OPA!,OPA,COSTA RICA,cr,False,,,83,review_required
20,LIDOM 07  | Coral,LIDOM 07 CORAL,R. DOMINICANA,do,False,,,83,review_required
21,LIDOM 06  | RTV,LIDOM 06 RTV,BEISBOL R. DOMINICANA,do,False,,,83,review_required
22,LIDOM 05  | Colimdo TV,LIDOM 05 COLIMDO,BEISBOL R. DOMINICANA,do,False,,,83,review_required
23,LIDOM 04  | TV La Romana,LIDOM 04 TV LA ROMANA,BEISBOL R. DOMINICANA,do,False,,,83,review_required
24,LIDOM 03  | CDN Deportes,LIDOM 03 CDN DEPORTES,BEISBOL R. DOMINICANA,do,True,Canal.CDN.Deportes.do,epg_ripper_DO1,94,fuzzy_country
25,LIDOM 02  | Teleuniverso,LIDOM 02 TELEUNIVERSO,BEISBOL R. DOMINICANA,do,False,,,83,review_required
26,LIDOM 01  | Luna TV,LIDOM 01 LUNA,BEISBOL R. DOMINICANA,do,False,,,83,review_required
27,TVO,TVO,R. DOMINICANA,do,True,TVO.ch,epg_ripper_CH1,99,exact_name
28,ECUADOR | RTU,ECUADOR RTU,ECUADOR,ec,True,Canal.Ecuador.TV.ec,epg_ripper_EC1,94,fuzzy_country
29,TNT SPORTS  »1«,TNT SPORTS 1,CHILE,cl,True,TNT.Sports.1.HD.ie,epg_ripper_IE1,99,exact_name
30,TNT SPORTS  »2«,TNT SPORTS 2,CHILE,cl,True,TNT.Sports.2.HD.ie,epg_ripper_IE1,99,exact_name
